text,label
"The sun rises in the east and sets in the west every day. This is a well-established astronomical fact.",true
"Scientists have published peer-reviewed evidence that vaccines help the immune system fight disease.",true
"The Earth orbits the Sun once every year. This is confirmed by long-term observations.",true
"NASA reported that a rocket launch occurred successfully after following standard procedures.",true
"Many countries use central banks to adjust interest rates and monitor inflation using economic data.",true
"Independent news organizations verified the location of the event using multiple sources.",true
"The local election commission announced the final results after counting ballots.",true
"Researchers measured water temperatures in the river and documented seasonal changes.",true
"The company released its quarterly earnings report and followed its investor communication schedule.",true
"The hospital issued a public statement describing the number of patients treated during the period.",true
"Meteor showers occur regularly when Earth passes through debris left by comets.",true
"The police department posted verified information about road closures due to construction.",true
"The World Health Organization updated guidelines based on collected clinical studies.",true
"The weather service forecasted storms and provided official warnings that were later confirmed.",true
"The court ruling was published in official records with case details and dates.",true
"University researchers conducted a study and reported statistically significant results.",true
"The transit authority announced schedule changes using official timetables.",true
"The official government budget document outlines planned spending for the next fiscal year.",true
"The sports league released match statistics and standings on its verified website.",true
"Astronomers observed the planet through telescopes and reported measurable changes in brightness.",true
"A rumor claims that drinking bleach instantly cures all illnesses. There is no scientific evidence for this.",false
"Someone on social media insists that a new virus spreads only through 5G signals, without data to support it.",false
"A post claims that the moon is made of cheese and that images are fake, based only on anonymous accounts.",false
"The story says a vaccine causes instant death for everyone who takes it, which is contradicted by studies.",false
"A viral message alleges that the Earth is flat and that scientific measurements are entirely staged.",false
"Clickbait claims that a celebrity was secretly arrested yesterday, but no official records confirm the event.",false
"A headline claims that a major government agency approved a law overnight without public review or documents.",false
"A conspiracy says the hurricane track was predetermined to target specific neighborhoods.",false
"The message claims that a school reopened because a hidden group paid officials, without evidence.",false
"A post states that water becomes toxic immediately when exposed to microwaves, despite scientific findings.",false
"A viral tweet alleges that astronomers discovered aliens but suppressed all information, with no sources.",false
"The article claims that all hospitals are lying about patient numbers and that disease is entirely invented.",false
"A chain post insists that a new medicine is 100% effective and has no side effects, contradicting trials.",false
"The story claims that a vaccine contains microchips that can be remotely controlled, without credible proof.",false
"A post alleges that the stock market crashed due to a single tweet from a non-existent account.",false
"The rumor says that the official election results were fabricated, but provides no verifiable documentation.",false
"A fake story claims that the weather service predicted earthquakes perfectly, with fabricated timestamps.",false
"The article says a school district banned textbooks forever due to a secret order, without official announcements.",false
"A viral claim states that a new asteroid will hit Earth tomorrow for sure, citing only speculation.",false
"The post claims that a chemical spill happened last week but includes no verified reports from authorities.",false
